iteration,susceptible,exposed,infected,recovered
462,20000,0,0,0
463,20000,0,0,0
464,20000,0,0,0
465,20000,0,0,0
466,20000,0,0,0
467,20000,0,0,0
468,20000,0,0,0
469,20000,0,0,0
470,20000,0,0,0
471,20000,0,0,0
472,20000,0,0,0
473,20000,0,0,0
474,20000,0,0,0
475,20000,0,0,0
476,20000,0,0,0
477,20000,0,0,0
478,20000,0,0,0
479,20000,0,0,0
480,20000,0,0,0
481,20000,0,0,0
482,20000,0,0,0
483,20000,0,0,0
484,20000,0,0,0
485,20000,0,0,0
486,20000,0,0,0
487,20000,0,0,0
488,20000,0,0,0
489,20000,0,0,0
490,20000,0,0,0
491,20000,0,0,0
492,20000,0,0,0
493,20000,0,0,0
494,20000,0,0,0
495,20000,0,0,0
496,20000,0,0,0
497,20000,0,0,0
498,20000,0,0,0
499,20000,0,0,0
500,20000,0,0,0
501,20000,0,0,0
502,20000,0,0,0
503,20000,0,0,0
504,20000,0,0,0
505,20000,0,0,0
506,20000,0,0,0
507,20000,0,0,0
508,20000,0,0,0
509,20000,0,0,0
510,20000,0,0,0
511,20000,0,0,0
512,20000,0,0,0
513,20000,0,0,0
514,20000,0,0,0
515,20000,0,0,0
516,20000,0,0,0
517,20000,0,0,0
518,20000,0,0,0
519,20000,0,0,0
520,20000,0,0,0
521,20000,0,0,0
522,20000,0,0,0
523,20000,0,0,0
524,20000,0,0,0
525,20000,0,0,0
526,20000,0,0,0
527,20000,0,0,0
528,20000,0,0,0
529,20000,0,0,0
530,20000,0,0,0
531,20000,0,0,0
532,20000,0,0,0
533,20000,0,0,0
534,20000,0,0,0
535,20000,0,0,0
536,20000,0,0,0
537,20000,0,0,0
538,20000,0,0,0
539,20000,0,0,0
540,20000,0,0,0
541,20000,0,0,0
542,20000,0,0,0
543,20000,0,0,0
544,20000,0,0,0
545,20000,0,0,0
546,20000,0,0,0
547,20000,0,0,0
548,20000,0,0,0
549,20000,0,0,0
550,20000,0,0,0
551,20000,0,0,0
552,20000,0,0,0
553,20000,0,0,0
554,20000,0,0,0
555,20000,0,0,0
556,20000,0,0,0
557,20000,0,0,0
558,20000,0,0,0
559,20000,0,0,0
560,20000,0,0,0
561,20000,0,0,0
562,20000,0,0,0
563,20000,0,0,0
564,20000,0,0,0
565,20000,0,0,0
566,20000,0,0,0
567,20000,0,0,0
568,20000,0,0,0
569,20000,0,0,0
570,20000,0,0,0
571,20000,0,0,0
572,20000,0,0,0
573,20000,0,0,0
574,20000,0,0,0
575,20000,0,0,0
576,20000,0,0,0
577,20000,0,0,0
578,20000,0,0,0
579,20000,0,0,0
580,20000,0,0,0
581,20000,0,0,0
582,20000,0,0,0
583,20000,0,0,0
584,20000,0,0,0
585,20000,0,0,0
586,20000,0,0,0
587,20000,0,0,0
588,20000,0,0,0
589,20000,0,0,0
590,20000,0,0,0
591,20000,0,0,0
592,20000,0,0,0
593,20000,0,0,0
594,20000,0,0,0
595,20000,0,0,0
596,20000,0,0,0
597,20000,0,0,0
598,20000,0,0,0
599,20000,0,0,0
600,20000,0,0,0
601,20000,0,0,0
602,20000,0,0,0
603,20000,0,0,0
604,20000,0,0,0
605,20000,0,0,0
606,20000,0,0,0
607,20000,0,0,0
608,20000,0,0,0
609,20000,0,0,0
610,20000,0,0,0
611,20000,0,0,0
612,20000,0,0,0
613,20000,0,0,0
614,20000,0,0,0
615,20000,0,0,0
616,20000,0,0,0
617,20000,0,0,0
618,20000,0,0,0
619,20000,0,0,0
620,20000,0,0,0
621,20000,0,0,0
622,20000,0,0,0
623,20000,0,0,0
624,20000,0,0,0
625,20000,0,0,0
626,20000,0,0,0
627,20000,0,0,0
628,20000,0,0,0
629,20000,0,0,0
630,20000,0,0,0
631,20000,0,0,0
632,20000,0,0,0
633,20000,0,0,0
634,20000,0,0,0
635,20000,0,0,0
636,20000,0,0,0
637,20000,0,0,0
638,20000,0,0,0
639,20000,0,0,0
640,20000,0,0,0
641,20000,0,0,0
642,20000,0,0,0
643,20000,0,0,0
644,20000,0,0,0
645,20000,0,0,0
646,20000,0,0,0
647,20000,0,0,0
648,20000,0,0,0
649,20000,0,0,0
650,20000,0,0,0
651,20000,0,0,0
652,20000,0,0,0
653,20000,0,0,0
654,20000,0,0,0
655,20000,0,0,0
656,20000,0,0,0
657,20000,0,0,0
658,20000,0,0,0
659,20000,0,0,0
660,20000,0,0,0
661,20000,0,0,0
662,20000,0,0,0
663,20000,0,0,0
664,20000,0,0,0
665,20000,0,0,0
666,20000,0,0,0
667,20000,0,0,0
668,20000,0,0,0
669,20000,0,0,0
670,20000,0,0,0
671,20000,0,0,0
672,20000,0,0,0
673,20000,0,0,0
674,20000,0,0,0
675,20000,0,0,0
676,20000,0,0,0
677,20000,0,0,0
678,20000,0,0,0
679,20000,0,0,0
680,20000,0,0,0
681,20000,0,0,0
682,20000,0,0,0
683,20000,0,0,0
684,20000,0,0,0
685,20000,0,0,0
686,20000,0,0,0
687,20000,0,0,0
688,20000,0,0,0
689,20000,0,0,0
690,20000,0,0,0
691,20000,0,0,0
692,20000,0,0,0
693,20000,0,0,0
694,20000,0,0,0
695,20000,0,0,0
696,20000,0,0,0
697,20000,0,0,0
698,20000,0,0,0
699,20000,0,0,0
700,20000,0,0,0
